apple_slice,manual_label,bitterpit,holes,rot,calix,stem,bruises,core,browning,normal,background,unannotated
31101_191,False,200,0,0,0,0,615,0,0,282775,661194,0
31101_192,False,296,0,0,0,0,537,0,0,284049,659902,0
31101_193,False,241,0,0,0,0,611,0,0,285168,658764,0
31101_194,False,181,0,0,0,0,550,0,0,286840,657213,0
31101_195,False,133,0,0,0,0,631,0,0,288354,655666,0
31101_196,False,109,0,4,0,0,784,0,0,290093,653794,0
31101_197,False,6,0,50,0,0,635,0,0,291761,652332,0
31101_198,False,0,0,10,0,0,588,0,0,293466,650720,0
31101_199,False,83,0,0,0,0,645,0,0,294896,649160,0
31101_200,False,0,0,0,0,0,644,0,0,296101,648039,0
31101_201,False,0,0,0,0,0,624,0,0,297490,646670,0
31101_202,False,0,0,0,0,0,553,0,0,298989,645242,0
31101_203,False,0,0,0,0,0,444,0,0,300840,643500,0
31101_204,False,0,0,0,0,0,345,0,0,302231,642208,0
31101_205,False,0,0,0,0,0,221,0,0,303848,640715,0
31101_206,False,0,0,0,0,0,155,0,0,305032,639597,0
31101_207,False,0,0,0,0,0,110,0,0,306340,638334,0
31101_208,False,0,0,0,0,0,128,0,0,308048,636608,0
31101_209,False,0,0,0,0,0,0,0,0,309340,635444,0
31101_210,False,0,0,0,0,0,0,0,0,311383,633401,0
31101_211,False,0,0,0,0,0,0,0,0,312663,632121,0
31101_212,False,0,0,0,0,0,0,0,6,314033,630745,0
31101_213,False,0,0,0,0,0,0,0,0,315193,629591,0
31101_214,False,0,0,0,0,0,0,0,0,315964,628820,0
31101_215,False,0,0,0,0,0,0,0,0,317396,627388,0
31101_216,False,0,0,0,0,0,0,0,0,319419,625365,0
31101_217,False,0,0,0,0,0,0,0,0,320499,624285,0
31101_218,False,0,0,0,0,0,0,0,0,322280,622504,0
31101_219,False,0,0,0,0,0,0,0,0,324068,620716,0
31101_220,False,0,0,0,0,0,0,0,0,325649,619135,0
31101_221,False,0,0,0,0,0,0,0,0,326345,618439,0
31101_222,False,0,0,0,0,0,0,0,0,328302,616482,0
31101_223,False,0,0,0,0,0,0,0,0,329381,615403,0
31101_224,False,0,0,0,0,0,0,0,0,330570,614214,0
31101_225,False,0,0,0,0,0,0,0,0,331587,613197,0
31101_226,False,0,0,0,0,0,0,0,0,333653,611131,0
31101_227,False,0,0,0,0,0,0,0,0,335460,609324,0
31101_228,False,0,0,0,0,0,25,0,0,336650,608109,0
31101_229,False,0,0,0,0,0,5,0,0,337906,606873,0
31101_230,False,0,0,0,0,0,0,0,0,338879,605905,0
31101_231,False,0,0,0,0,0,0,0,0,340877,603907,0
31101_232,False,0,0,0,0,0,0,0,0,342196,602588,0
31101_233,False,0,0,0,0,0,0,0,0,343375,601409,0
31101_234,False,0,0,0,0,0,0,0,0,345114,599670,0
31101_235,False,14,0,0,0,0,0,0,0,346654,598116,0
31101_236,False,0,0,0,0,0,0,0,0,347829,596955,0
31101_237,False,0,0,0,0,0,0,0,0,349596,595188,0
31101_238,False,0,0,0,0,0,0,0,0,350286,594498,0
31101_239,False,1,0,0,0,0,24,0,0,351709,593050,0
31101_240,False,0,0,0,0,0,79,0,0,352948,591757,0
31101_241,False,0,0,0,0,0,109,0,0,354046,590629,0
31101_242,False,0,0,0,0,0,278,0,0,355127,589379,0
31101_243,False,0,0,0,0,0,262,0,0,356577,587945,0
31101_244,False,0,0,0,0,0,232,0,0,357762,586790,0
31101_245,False,0,0,0,0,0,237,0,0,359130,585417,0
31101_246,False,0,0,0,0,0,275,0,0,360767,583742,0
31101_247,False,0,0,0,0,0,218,0,0,361642,582924,0
31101_248,False,0,0,0,18,0,246,0,0,362948,581572,0
31101_249,False,0,0,0,0,0,240,0,0,364094,580450,0
31101_250,False,0,0,0,13,0,228,0,0,364677,579866,0
31101_251,False,0,0,0,33,0,207,0,0,366693,577851,0
31101_252,False,0,0,0,21,0,227,0,0,367624,576912,0
31101_253,False,0,0,0,16,0,231,0,0,368985,575552,0
31101_254,False,0,0,0,11,0,193,0,0,370472,574108,0
31101_255,False,0,0,0,0,0,233,0,0,371304,573247,0
31101_256,False,0,0,0,0,0,300,0,0,372770,571714,0
31101_257,False,0,0,0,0,0,266,0,0,373940,570578,0
31101_258,False,0,0,0,0,0,315,0,0,375005,569464,0
31101_259,False,0,0,0,1,0,330,0,0,376588,567865,0
31101_260,False,0,29,8,1,0,271,0,0,377812,566663,0
31101_261,False,33,0,0,0,0,280,0,0,378580,565891,0
31101_262,False,6,9,12,0,0,253,0,0,379925,564579,0
31101_263,False,16,22,0,10,0,233,0,0,380981,563522,0
31101_264,False,0,2,0,0,0,170,0,0,382985,561627,0
31101_265,False,29,0,0,0,0,205,0,0,383848,560702,0
31101_266,False,10,4,0,0,0,247,0,0,385013,559510,0
31101_267,False,275,0,0,0,0,274,35,0,386591,557609,0
31101_268,False,466,0,0,0,0,383,76,0,387888,555971,0
31101_269,False,454,0,0,0,0,225,108,0,388612,555385,0
31101_270,False,610,0,0,0,0,246,1,0,390361,553566,0
31101_271,False,191,0,0,0,0,394,0,0,391228,552971,0
31101_272,False,129,0,2,0,0,379,27,0,392564,551683,0
31101_273,False,122,0,2,0,0,434,0,0,393729,550497,0
31101_274,False,73,0,25,6,0,381,135,0,394872,549292,0
31101_275,False,3,0,19,76,1,384,170,0,396366,547765,0
31101_276,False,0,0,9,250,0,332,4,0,397162,547027,0
31101_277,False,0,0,0,0,14,350,246,0,397896,546278,0
31101_278,False,0,0,1,0,0,423,121,0,399304,544935,0
31101_279,False,52,0,0,0,0,211,51,0,400764,543706,0
31101_280,False,0,0,0,0,0,187,212,0,401959,542426,0
31101_281,False,0,0,0,0,0,185,84,0,403025,541490,0
31101_282,False,0,0,0,0,0,200,0,0,404093,540491,0
31101_283,False,0,0,0,0,0,169,0,0,405167,539448,0
31101_284,False,0,0,0,0,0,157,0,0,406678,537949,0
31101_285,False,0,0,0,0,0,119,0,0,407194,537471,0
31101_286,False,22,0,0,0,0,103,0,0,408611,536048,0
31101_287,False,0,0,0,0,0,101,0,0,409794,534889,0
31101_288,False,0,0,0,0,0,88,0,0,410416,534280,0
31101_289,False,0,0,0,0,0,117,0,0,411516,533151,0
31101_290,False,0,0,0,0,0,109,0,0,412912,531763,0
31101_291,False,0,0,0,0,0,101,0,0,414318,530365,0
31101_292,False,0,0,0,0,0,26,0,0,415361,529397,0
31101_293,False,0,0,0,0,0,43,0,0,416020,528721,0
31101_294,False,0,0,0,0,0,0,0,0,417551,527233,0
31101_295,False,0,0,0,0,0,0,0,0,418923,525861,0
31101_296,False,0,0,0,0,0,0,0,0,419711,525073,0
31101_297,False,0,0,0,0,0,0,0,0,420770,524014,0
31101_298,False,0,0,0,0,0,0,0,0,422250,522534,0
31101_299,False,0,0,0,0,0,0,0,0,422862,521922,0
31101_300,False,0,0,0,0,0,0,0,0,424297,520487,0
31101_301,False,0,0,0,0,0,0,0,0,424611,520173,0
31101_302,False,0,0,0,0,0,0,0,0,425422,519362,0
31101_303,False,0,0,0,0,0,0,0,0,426905,517879,0
31101_304,False,0,0,0,0,0,0,0,0,427958,516826,0
31101_305,False,0,0,0,0,0,0,0,0,428988,515796,0
31101_306,False,0,0,0,0,0,0,0,0,430136,514648,0
31101_307,False,0,0,0,0,0,0,0,0,430911,513873,0
31101_308,False,0,0,0,0,0,0,0,0,431797,512987,0
31101_309,False,0,0,0,0,0,0,0,0,433369,511415,0
31101_310,False,0,0,0,0,0,0,0,0,433907,510877,0
31101_311,False,0,0,0,0,0,0,0,0,435519,509265,0
31101_312,False,0,0,0,0,0,0,0,0,436481,508303,0
31101_313,False,0,0,0,0,0,0,0,0,437608,507176,0
31101_314,False,0,0,0,0,0,0,0,0,438234,506550,0
31101_315,False,0,0,0,0,0,0,0,0,439548,505236,0
31101_316,False,0,0,0,0,0,0,0,0,440874,503910,0
31101_317,False,0,0,0,0,0,0,0,0,441555,503229,0
31101_318,False,0,0,0,0,0,0,0,0,442890,501894,0
31101_319,False,0,0,0,0,0,0,0,0,443864,500920,0
31101_320,False,0,0,0,0,0,0,0,0,445001,499783,0
31101_321,False,0,0,0,0,0,0,0,0,445799,498985,0
31101_322,False,0,0,0,0,0,0,0,0,446761,498023,0
31101_323,False,0,0,0,0,0,0,0,0,447566,497218,0
31101_324,False,0,0,0,0,0,0,0,0,448469,496315,0
31101_325,False,0,0,0,0,0,16,0,0,449662,495106,0
31101_326,False,0,0,0,0,0,0,0,0,451115,493669,0
31101_327,False,0,0,0,0,0,114,0,0,452004,492666,0
31101_328,False,0,0,0,0,0,127,0,0,452649,492008,0
31101_329,False,0,0,0,0,0,105,0,0,454025,490654,0
31101_330,False,0,0,0,0,0,187,0,0,454634,489963,0
31101_331,False,0,0,0,0,0,161,0,0,455510,489113,0
31101_332,False,0,0,0,0,0,146,0,0,456331,488307,0
31101_333,False,0,0,0,0,0,122,0,0,457970,486692,0
31101_334,False,0,0,0,0,0,126,0,0,458646,486012,0
31101_335,False,0,0,0,0,0,62,0,0,459495,485227,0
31101_336,False,0,0,0,0,0,19,0,0,460783,483982,0
31101_337,False,0,0,0,0,0,0,0,0,462318,482466,0
31101_338,False,0,0,0,0,0,0,0,0,462736,482048,0
31101_339,False,0,0,0,0,0,9,0,0,463739,481036,0
31101_340,False,0,0,0,0,0,37,0,0,465022,479725,0
31101_341,False,0,0,0,0,0,15,0,0,465968,478801,0
31101_342,False,0,0,0,0,0,0,0,0,466476,478308,0
31101_343,False,0,0,0,0,0,0,0,0,467849,476935,0
31101_344,False,0,0,0,0,0,17,6,0,468841,475920,0
31101_345,False,0,0,0,0,0,12,0,0,469817,474955,0
31101_346,False,0,0,0,0,0,0,0,0,470748,474036,0
31101_347,False,0,0,0,0,0,0,0,0,471502,473282,0
31101_348,False,0,0,0,0,0,37,0,0,472340,472407,0
31101_349,False,0,0,0,0,0,54,0,0,473126,471604,0
31101_350,False,0,0,0,0,0,87,0,0,474530,470167,0
31101_351,False,0,0,0,0,0,73,0,0,475163,469548,0
31101_352,False,3,0,0,0,0,127,0,0,476037,468617,0
31101_353,False,0,0,0,0,0,191,0,0,476979,467614,0
31101_354,False,0,0,0,0,0,200,0,0,478063,466521,0
31101_355,False,0,0,0,0,0,184,0,0,478607,465993,0
31101_356,False,0,0,0,0,0,137,0,0,479907,464740,0
31101_357,False,0,0,0,0,0,178,0,0,480651,463955,0
31101_358,False,10,0,0,0,0,219,0,0,481495,463060,0
31101_359,False,0,0,0,0,0,292,0,0,482527,461965,0
31101_360,False,0,0,0,0,0,337,0,0,483370,461077,0
31101_361,False,37,0,0,0,0,361,0,0,484480,459906,0
31101_362,False,0,0,0,0,0,404,15,0,484868,459497,0
31101_363,False,0,0,0,0,0,343,99,0,486091,458251,0
31101_364,False,0,0,0,0,0,379,114,0,486259,458032,0
31101_365,False,0,0,0,0,0,450,97,0,487395,456842,0
31101_366,False,0,0,0,0,0,456,102,0,488246,455980,0
31101_367,False,0,0,0,0,0,403,120,0,489483,454778,0
31101_368,False,0,0,0,0,0,471,124,0,490786,453403,0
31101_369,False,0,0,0,0,0,435,160,0,490610,453579,0
31101_370,False,0,0,0,0,0,358,169,0,491566,452691,0
31101_371,False,0,0,0,0,0,407,167,0,492558,451652,0
31101_372,False,0,0,0,0,0,441,162,0,493813,450368,0
31101_373,False,0,0,0,0,0,330,188,0,494402,449864,0
31101_374,False,0,0,0,0,0,270,165,0,495035,449314,0
31101_375,False,0,0,0,0,0,247,172,0,496325,448040,0
31101_376,False,0,0,0,0,0,226,208,0,497396,446954,0
31101_377,False,0,0,0,0,0,227,195,0,497924,446438,0
31101_378,False,0,0,0,0,0,267,208,0,499019,445290,0
31101_379,False,0,0,0,0,0,251,221,0,499758,444554,0
31101_380,False,0,0,0,0,0,266,217,0,500294,444007,0
31101_381,False,0,0,0,0,0,263,257,0,501768,442496,0
31101_382,False,133,0,0,0,0,267,78,0,502787,441519,0
31101_383,False,0,0,0,0,0,262,287,0,503271,440964,0
31101_384,False,0,0,0,0,0,285,305,0,503787,440407,0
31101_385,False,0,0,0,0,0,276,302,0,504511,439695,0
31101_386,False,0,0,0,0,0,228,337,0,505420,438799,0
31101_387,False,0,0,0,0,0,236,282,0,505475,438791,0
31101_388,False,0,0,0,0,0,213,363,0,506311,437897,0
31101_389,False,0,0,0,0,0,217,326,0,507415,436826,0
31101_390,False,0,0,0,0,0,136,325,0,508301,436022,0
31101_391,False,0,0,0,0,0,177,347,0,509111,435149,0
31101_392,False,0,0,0,0,0,95,399,0,509678,434612,0
31101_393,False,0,0,0,0,0,105,435,0,510417,433827,0
31101_394,False,0,0,0,0,0,123,463,0,511026,433172,0
31101_395,False,0,0,0,0,0,121,509,0,511711,432443,0
31101_396,False,0,0,0,0,0,65,544,0,512800,431375,0
31101_397,False,0,0,0,0,0,0,511,0,513126,431147,0
31101_398,False,0,0,0,0,0,0,552,0,514108,430124,0
31101_399,False,272,0,0,0,0,0,311,0,514963,429238,0
31101_400,False,0,0,0,0,0,0,626,0,515828,428330,0
31101_401,False,0,0,0,0,0,0,693,0,516620,427471,0
31101_402,False,0,0,0,0,0,0,703,0,517296,426785,0
31101_403,False,0,0,0,0,0,0,803,0,517710,426271,0
31101_404,False,0,0,0,0,0,0,825,0,518050,425909,0
31101_405,False,0,0,0,0,0,0,932,0,519168,424684,0
31101_406,False,0,0,0,0,0,0,1321,0,519511,423952,0
31101_407,False,6,0,0,0,0,0,1476,0,519911,423391,0
31101_408,False,0,0,0,0,0,0,1765,0,520213,422806,0
31101_409,False,0,0,0,0,0,0,2238,0,521016,421530,0
31101_410,False,0,0,0,0,0,0,2742,0,520749,421293,0
31101_411,False,0,0,0,0,0,0,3161,0,521013,420610,0
31101_412,False,0,0,0,0,0,0,3433,0,521941,419410,0
31101_413,False,0,0,0,0,0,0,3844,0,521446,419494,0
31101_414,False,0,0,12,0,0,0,4372,0,521686,418714,0
31101_415,False,0,0,34,0,0,0,4878,0,522072,417800,0
31101_416,False,0,0,23,0,0,0,5189,0,522127,417445,0
31101_417,False,0,0,11,0,0,0,5593,0,522601,416579,0
31101_418,False,0,0,0,0,0,0,6071,0,522645,416068,0
31101_419,False,0,0,0,0,0,0,6473,0,522786,415525,0
31101_420,False,0,0,0,0,0,0,6862,0,522635,415287,0
31101_421,False,0,0,0,0,0,0,7321,0,523338,414125,0
31101_422,False,0,0,0,0,0,0,7695,0,523306,413783,0
31101_423,False,0,0,0,0,0,0,7953,0,523365,413466,0
31101_424,False,0,0,0,0,0,0,8317,0,524230,412237,0
31101_425,False,0,0,0,0,0,0,8671,0,524116,411997,0
31101_426,False,0,0,0,0,0,10,9068,0,524933,410773,0
31101_427,False,0,0,0,0,0,12,9310,0,524525,410937,0
31101_428,False,0,0,0,0,0,0,9536,0,525057,410191,0
31101_429,False,0,0,0,0,0,0,9775,0,525462,409547,0
31101_430,False,0,0,0,0,0,3,10132,0,525821,408828,0
31101_431,False,0,0,0,0,0,0,10470,0,525920,408394,0
31101_432,False,0,0,33,0,0,3,10922,0,525735,408091,0
31101_433,False,0,0,0,0,0,0,11197,0,525839,407748,0
31101_434,False,0,0,0,0,0,0,11298,0,526829,406657,0
31101_435,False,0,0,0,0,0,0,11589,0,527104,406091,0
31101_436,False,0,0,0,0,0,4,11892,0,527203,405685,0
31101_437,False,0,0,0,0,0,0,12200,0,527495,405089,0
31101_438,False,0,0,32,0,0,0,12296,0,527874,404582,0
31101_439,False,0,0,64,0,0,0,12699,0,527516,404505,0
31101_440,False,0,0,38,0,0,0,12910,0,527865,403971,0
31101_441,False,20,0,24,0,0,0,13228,0,528183,403329,0
31101_442,False,0,0,0,0,0,0,13447,0,528827,402510,0
31101_443,False,0,0,2,0,0,0,13732,0,528404,402646,0
31101_444,False,0,0,16,0,0,85,14025,0,529021,401637,0
31101_445,False,0,0,24,0,0,137,14244,0,529431,400948,0
31101_446,False,0,0,31,0,0,181,14497,0,529379,400696,0
31101_447,False,0,0,61,0,0,216,14722,0,528708,401077,0
31101_448,False,0,0,38,0,0,266,14805,0,528476,401199,0
31101_449,False,0,0,22,0,0,336,15067,0,529228,400131,0
31101_450,False,0,0,40,0,0,394,15298,0,529513,399539,0
31101_451,False,0,0,46,0,0,480,15313,0,530460,398485,0
31101_452,False,0,0,23,0,0,562,15628,0,530200,398371,0
31101_453,False,0,0,11,0,0,514,15767,0,530213,398279,0
31101_454,False,0,0,0,0,0,431,15840,0,530578,397935,0
31101_455,False,0,0,0,0,0,424,15847,0,531199,397314,0
31101_456,False,0,0,27,0,0,468,15906,0,531783,396600,0
31101_457,False,0,0,78,0,0,553,16047,0,531639,396467,0
31101_458,False,0,0,0,0,0,594,16249,0,532007,395934,0
31101_459,False,0,0,33,0,0,575,16244,0,532187,395745,0
31101_460,False,0,0,0,0,0,629,16285,0,532822,395048,0
31101_461,False,0,0,0,0,0,596,16418,2,533285,394483,0
31101_462,False,0,0,0,0,0,525,16427,0,533681,394151,0
31101_463,False,0,0,31,0,0,476,16526,0,533882,393869,0
31101_464,False,0,0,30,0,0,460,16551,0,534117,393626,0
31101_465,False,0,0,13,0,0,508,16835,0,534176,393252,0
31101_466,False,0,0,0,0,0,601,16774,0,534187,393222,0
31101_467,False,0,0,20,0,0,511,16739,0,534255,393259,0
31101_468,False,0,0,48,0,0,456,16762,0,535448,392070,0
31101_469,False,0,0,53,0,0,464,16808,0,535229,392230,0
31101_470,False,0,0,0,0,0,414,16823,1,535635,391911,0
31101_471,False,0,0,0,0,0,366,16763,0,536110,391545,0
31101_472,False,0,0,0,0,0,475,16741,0,536333,391235,0
31101_473,False,0,0,0,0,0,529,16761,0,537015,390479,0
31101_474,False,0,0,0,0,0,470,16664,0,537360,390290,0
31101_475,False,0,0,2,0,0,478,16446,0,537398,390460,0
31101_476,False,0,0,0,0,0,563,16511,5,537376,390329,0
31101_477,False,1,0,31,0,0,738,16429,0,537746,389839,0
31101_478,False,0,0,10,0,0,734,16421,0,538390,389229,0
31101_479,False,0,0,0,0,0,685,16481,0,538420,389198,0
31101_480,False,0,0,1,0,0,733,16259,1,538688,389102,0
31101_481,False,0,0,0,0,0,712,16274,0,538601,389197,0
31101_482,False,0,0,0,0,0,591,16260,0,539418,388515,0
31101_483,False,0,0,0,0,0,599,16273,0,539392,388520,0
31101_484,False,0,0,0,0,0,564,16219,0,540199,387802,0
31101_485,False,0,57,0,0,0,519,16093,0,540746,387369,0
31101_486,False,0,0,15,0,0,376,16030,0,540950,387413,0
31101_487,False,0,0,15,0,0,294,16125,0,540845,387505,0
31101_488,False,0,0,34,0,0,327,15984,0,540935,387504,0
31101_489,False,0,0,33,0,0,313,15893,0,541242,387303,0
31101_490,False,0,0,24,0,0,373,15834,0,541369,387184,0
31101_491,False,0,0,67,0,0,444,15632,0,541905,386736,0
31101_492,False,8,0,0,0,0,423,15466,9,541920,386958,0
31101_493,False,63,0,0,0,0,415,15469,0,542274,386563,0
31101_494,False,0,0,0,0,0,312,15283,0,542590,386599,0
31101_495,False,0,0,0,0,0,279,15115,0,543020,386370,0
31101_496,False,0,0,0,0,0,279,15117,0,543068,386320,0
31101_497,False,1,0,0,0,0,302,15192,0,543318,385971,0
31101_498,False,0,0,0,0,0,353,14968,0,543388,386075,0
31101_499,False,0,0,0,0,0,153,14681,0,544200,385750,0
31101_500,False,0,0,0,0,0,146,14625,0,544865,385148,0
31101_501,False,0,0,0,0,0,40,14536,0,544863,385345,0
31101_502,False,0,0,0,0,0,35,14462,0,544903,385384,0
31101_503,False,0,0,0,0,0,0,14231,0,545448,385105,0
31101_504,False,0,0,0,0,0,0,14048,0,545566,385170,0
31101_505,False,0,0,0,0,0,0,14084,0,545839,384861,0
31101_506,False,0,0,0,0,0,5,13961,0,546176,384642,0
31101_507,False,0,0,0,0,0,37,13696,2,546275,384774,0
31101_508,False,0,0,0,0,0,15,13655,0,546165,384949,0
31101_509,False,0,0,0,0,0,0,13602,0,546796,384386,0
31101_510,False,0,0,0,0,0,0,13442,0,546561,384781,0
31101_511,False,0,0,0,0,0,0,13299,0,547022,384463,0
31101_512,False,0,0,0,0,0,0,13099,0,546792,384893,0
31101_513,False,0,0,0,0,0,0,12843,0,547572,384369,0
31101_514,False,0,0,0,0,0,0,12543,0,547586,384655,0
31101_515,False,0,0,0,0,0,0,12400,0,547339,385045,0
31101_516,False,0,0,0,0,0,0,12358,0,548031,384395,0
31101_517,False,0,0,0,0,0,0,12202,11,548109,384462,0
31101_518,False,0,0,0,0,0,25,12058,0,548527,384174,0
31101_519,False,0,0,0,0,0,0,11705,0,548272,384807,0
31101_520,False,0,0,0,0,0,0,11424,0,548159,385201,0
31101_521,False,0,0,0,0,0,0,11289,0,548829,384666,0
31101_522,False,0,0,0,0,0,0,11113,0,549064,384607,0
31101_523,False,0,0,0,0,0,53,10865,0,549127,384739,0
31101_524,False,0,0,0,0,0,4,10686,0,549040,385054,0
31101_525,False,0,0,0,0,0,0,10506,0,549377,384901,0
31101_526,False,0,0,0,0,0,0,10243,0,549603,384938,0
31101_527,False,0,0,0,0,0,0,9968,0,549640,385176,0
31101_528,False,0,0,0,0,0,0,9485,0,549907,385392,0
31101_529,False,0,0,0,0,0,0,9250,0,549995,385539,0
31101_530,False,0,0,0,0,0,81,8935,0,550100,385668,0
31101_531,False,0,0,0,0,0,0,8875,0,550201,385708,0
31101_532,False,0,0,0,0,0,69,8358,0,550714,385643,0
31101_533,False,0,0,0,0,0,158,8172,0,550425,386029,0
31101_534,False,0,0,0,0,0,103,7839,0,551052,385790,0
31101_535,False,0,0,0,0,0,97,7434,0,550762,386491,0
31101_536,False,0,0,0,0,0,0,7401,0,550789,386594,0
31101_537,False,0,0,0,0,0,33,7174,0,550843,386734,0
31101_538,False,0,0,0,0,0,0,6894,0,550998,386892,0
31101_539,False,0,0,0,0,0,0,6495,0,551304,386985,0
31101_540,False,0,0,0,0,0,0,6278,0,550792,387714,0
